Imaginary,Real
21536,2048
4140,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
31,0
-29252,-25445
1,0
1,0
0,0
10,0
0,6
21536,2048
3210,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
32,0
-30792,-24682
2,0
1,0
0,0
10,0
0,6
18895,-1942
-14000,14876
-18587,-17841
-26884,14933
258,772
1286,1800
512,774
64,6
26691,10
33,0
29185,-23919
1,0
1,0
0,0
10,0
0,6
21536,2048
3657,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
34,0
-7094,-23156
2,0
1,0
0,0
10,0
0,6
21536,2048
26549,1
21787,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
35,0
-6946,-22393
2,0
1,0
0,0
10,0
0,6
21536,2048
25599,1
21787,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
36,0
-18013,-21630
2,0
1,0
0,0
10,0
0,6
21536,2048
25468,1
21021,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
37,0
-23113,-20867
2,0
1,0
0,0
10,0
0,6
21536,2048
24839,1
21029,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
38,0
9742,-20104
1,0
1,0
0,0
10,0
0,6
21536,2048
4242,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
39,0
5323,-19341
1,0
1,0
0,0
10,0
0,6
21536,2048
3887,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
40,0
-16698,-18578
3,0
1,0
0,0
10,0
0,6
21536,2048
-24574,1
21805,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
41,0
2518,-17814
4,0
1,0
0,0
10,0
0,6
21536,2048
-10263,1
30756,0
4,0
258,772
1286,1800
512,774
64,6
26691,10
42,0
25729,-17052
2,0
1,0
0,0
10,0
0,6
21536,2048
27000,1
21001,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
43,0
17041,-16289
2,0
1,0
0,0
10,0
0,6
21536,2048
23062,1
21021,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
44,0
20157,-15526
2,0
1,0
0,0
10,0
0,6
21536,2048
26150,1
21816,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
45,0
-16589,-14764
1,0
1,0
0,0
10,0
0,6
21536,2048
4083,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
46,0
10596,-14000
2,0
1,0
0,0
10,0
0,6
21536,2048
26512,1
21795,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
47,0
-24676,-13238
1,0
1,0
0,0
10,0
0,6
-18587,-17841
-26884,-17835
0,0
0,16368
258,772
1286,1800
512,774
64,6
26691,10
48,0
4794,-12474
2,0
1,0
0,0
10,0
0,6
21536,2048
26827,1
21787,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
49,0
4564,-11710
6,0
1,0
0,0
10,0
0,6
21536,2048
22463,2
30857,0
6,0
258,772
1286,1800
512,774
64,6
26691,10
50,0
5229,-10948
3,0
1,0
0,0
10,0
0,6
21536,2048
-27493,1
21274,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
51,0
-8800,-10186
2,0
1,0
0,0
10,0
0,6
21536,2048
26969,1
21778,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
52,0
-15656,-9422
5,0
1,0
0,0
10,0
0,6
21536,2048
14783,2
30547,0
5,0
